"Parent1"	"Parent2"	"Offspring"	"Cross.Type"	"SNPs"	"GD"
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.02"	"outcross"	341	0.124633431085044
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.03"	"outcross"	347	0.128242074927954
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.04"	"outcross"	347	0.0951008645533141
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.06"	"outcross"	346	0.101156069364162
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.07"	"outcross"	346	0.173410404624277
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.08"	"outcross"	343	0.183673469387755
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.09"	"outcross"	346	0.179190751445087
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.10"	"outcross"	346	0.132947976878613
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.11"	"outcross"	346	0.135838150289017
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.12"	"outcross"	347	0.129682997118156
"Chang.Bai.Mountain.4"	"Offspring.05"	"CACT.105.107"	"outcross"	347	0.113832853025937
"Chang.Bai.Mountain.4"	"Offspring.05"	"Ogden.Point"	"outcross"	346	0.23121387283237
"Chang.Bai.Mountain.4"	"Offspring.05"	"Meader"	"outcross"	346	0.0953757225433526
"Chang.Bai.Mountain.4"	"Offspring.05"	"Langer"	"outcross"	346	0.170520231213873
"Chang.Bai.Mountain.4"	"Offspring.06"	"Chang.Bai.Mountain.5"	"outcross"	345	0.111594202898551
"Chang.Bai.Mountain.4"	"Offspring.06"	"Tatyana"	"outcross"	345	0.0492753623188406
"Chang.Bai.Mountain.4"	"Offspring.06"	"Dumbarton.Oaks.BG"	"outcross"	345	0.210144927536232
"Chang.Bai.Mountain.4"	"Offspring.06"	"X74.32"	"outcross"	344	0.107558139534884
"Chang.Bai.Mountain.4"	"Offspring.06"	"DACT.218"	"outcross"	327	0.18960244648318
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.01"	"outcross"	344	0.123546511627907
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.02"	"outcross"	339	0.12094395280236
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.03"	"outcross"	345	0.140579710144928
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.04"	"outcross"	345	0.0869565217391304
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.05"	"outcross"	336	0.0848214285714286
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.07"	"outcross"	345	0.173913043478261
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.08"	"outcross"	342	0.179824561403509
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.09"	"outcross"	344	0.183139534883721
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.10"	"outcross"	344	0.126453488372093
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.11"	"outcross"	344	0.122093023255814
"Chang.Bai.Mountain.4"	"Offspring.06"	"Offspring.12"	"outcross"	345	0.139130434782609
"Chang.Bai.Mountain.4"	"Offspring.06"	"CACT.105.107"	"outcross"	345	0.105797101449275
"Chang.Bai.Mountain.4"	"Offspring.06"	"Ogden.Point"	"outcross"	344	0.21656976744186
"Chang.Bai.Mountain.4"	"Offspring.06"	"Meader"	"outcross"	344	0.100290697674419
"Chang.Bai.Mountain.4"	"Offspring.06"	"Langer"	"outcross"	344	0.161337209302326
"Chang.Bai.Mountain.4"	"Offspring.07"	"Chang.Bai.Mountain.5"	"outcross"	315	0.0714285714285714
"Chang.Bai.Mountain.4"	"Offspring.07"	"Tatyana"	"outcross"	315	0.0920634920634921
"Chang.Bai.Mountain.4"	"Offspring.07"	"Dumbarton.Oaks.BG"	"outcross"	315	0.184126984126984
"Chang.Bai.Mountain.4"	"Offspring.07"	"X74.32"	"outcross"	314	0.165605095541401
"Chang.Bai.Mountain.4"	"Offspring.07"	"DACT.218"	"outcross"	301	0.204318936877076
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.01"	"outcross"	315	0.1
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.02"	"outcross"	309	0.113268608414239
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.03"	"outcross"	315	0.120634920634921
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.04"	"outcross"	315	0.158730158730159
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.05"	"outcross"	305	0.124590163934426
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.06"	"outcross"	313	0.140575079872204
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.08"	"outcross"	309	0.114886731391586
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.09"	"outcross"	314	0.116242038216561
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.10"	"outcross"	314	0.130573248407643
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.11"	"outcross"	314	0.143312101910828
"Chang.Bai.Mountain.4"	"Offspring.07"	"Offspring.12"	"outcross"	315	0.146031746031746
"Chang.Bai.Mountain.4"	"Offspring.07"	"CACT.105.107"	"outcross"	315	0.103174603174603
"Chang.Bai.Mountain.4"	"Offspring.07"	"Ogden.Point"	"outcross"	315	0.152380952380952
"Chang.Bai.Mountain.4"	"Offspring.07"	"Meader"	"outcross"	313	0.097444089456869
"Chang.Bai.Mountain.4"	"Offspring.07"	"Langer"	"outcross"	315	0.155555555555556
